Delta,Throttle,Steering
0.1,0.0,0.0
0.043,0.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.054,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.052,1.0,0.0
0.049,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.05,1.0,1.0
0.05,1.0,1.0
0.05,1.0,1.0
0.049,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.049,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.051,1.0,0.0
0.049,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
0.049,1.0,0.0
0.053,1.0,-1.0
0.048,1.0,-1.0
0.05,1.0,-1.0
0.051,1.0,-1.0
0.05,1.0,-1.0
0.049,1.0,-1.0
0.05,1.0,-1.0
0.05,1.0,-1.0
0.05,1.0,-1.0
0.05,1.0,0.0
0.05,1.0,0.0
0.05,1.0,0.0
